Age,Gender,Years IT / Programming Experience,Occupation,Current Lang & Tech: Android,Current Lang & Tech: Arduino,Current Lang & Tech: AngularJS,Current Lang & Tech: C,Current Lang & Tech: C++,Current Lang & Tech: C++11,Current Lang & Tech: C#,Current Lang & Tech: Cassandra,Current Lang & Tech: CoffeeScript,Current Lang & Tech: Cordova,Current Lang & Tech: Clojure,Current Lang & Tech: Cloud,Current Lang & Tech: Dart,Current Lang & Tech: F#,Current Lang & Tech: Go,Current Lang & Tech: Hadoop,Current Lang & Tech: Haskell,Current Lang & Tech: iOS,Current Lang & Tech: Java,Current Lang & Tech: JavaScript,Current Lang & Tech: LAMP,Current Lang & Tech: Matlab,Current Lang & Tech: MongoDB,Current Lang & Tech: Node.js,Current Lang & Tech: Objective-C,Current Lang & Tech: Perl,Current Lang & Tech: PHP,Current Lang & Tech: Python,Current Lang & Tech: R,Current Lang & Tech: Redis,Current Lang & Tech: Ruby,Current Lang & Tech: Rust,Current Lang & Tech: Salesforce,Current Lang & Tech: Scala,Current Lang & Tech: Sharepoint,Current Lang & Tech: Spark,Current Lang & Tech: SQL,Current Lang & Tech: SQL Server,Current Lang & Tech: Swift,Current Lang & Tech: Visual Basic,Current Lang & Tech: Windows Phone,Current Lang & Tech: Wordpress,Current Lang & Tech: Write-In,Training & Education: No formal training,Training & Education: On the job,Training & Education: Boot camp or night school,Training & Education: Online Class,Training & Education: Mentorship,Training & Education: Industry certification,"Training & Education: Some college, but no CS degree",Training & Education: BS in CS,Training & Education: Masters in CS,Training & Education: PhD in CS,Training & Education: Other,Compensation,Compensation: midpoint,Employment Status,Industry
30-34,Male,6 - 10 years,Business intelligence or data warehousing expert,,,,,,,C#,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,Wordpress,,No formal training; I'm self-taught,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"$60,000 - $80,000",70000,Employed full-time,Healthcare
20-24,Female,2 - 5 years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$60,000 - $80,000",70000,Employed full-time,Healthcare
25-29,Male,1 - 2 years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,,Python,R,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,,"Intensive code ""boot-camp"" or night school","Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"$80,000 - $100,000",90000,Employed full-time,Internet
30-34,Male,2 - 5 years,Business intelligence or data warehousing expert,,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,"$60,000 - $80,000",70000,Employed full-time,Internet
40-50,Male,11+ years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,R,Redis,,,,Scala,,Spark,,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"More than $160,000",170000,Employed full-time,Internet
30-34,Male,11+ years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,SQL,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"More than $160,000",170000,Employed full-time,Manufacturing
< 20,Male,2 - 5 years,Business intelligence or data warehousing expert,,,,,C++,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,No formal training; I'm self-taught,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,Rather not say,Rather not say,Employed part-time,Manufacturing
25-29,Male,2 - 5 years,Business intelligence or data warehousing expert,,,,,,,C#,,,,,,,,,,,,,,,,,,,Perl,,,,,,,,,Sharepoint,,,,,Visual Basic,,,,No formal training; I'm self-taught,,,,,,,,,,,"$60,000 - $80,000",70000,Employed full-time,Other (please specify)
30-34,Male,6 - 10 years,Business intelligence or data warehousing expert,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,No formal training; I'm self-taught,,,,,,,,,,,"$80,000 - $100,000",90000,Employed full-time,Other (please specify)
30-34,Female,11+ years,Business intelligence or data warehousing expert,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,Other,"$100,000 - $120,000",110000,Employed full-time,Other (please specify)
40-50,Male,11+ years,Business intelligence or data warehousing expert,,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,,,,Perl,,,,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,Rather not say,Rather not say,Employed full-time,Other (please specify)
30-34,Male,6 - 10 years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,Kapow,No formal training; I'm self-taught,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$40,000 - $60,000",50000,Employed full-time,Other (please specify)
51-60,Male,11+ years,Business intelligence or data warehousing expert,Android,,,,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,Secdb/Slang (proprietary),,On-the-job training,"Intensive code ""boot-camp"" or night school",,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"More than $160,000",170000,Employed full-time,Other (please specify)
40-50,Male,11+ years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,On-the-job training,"Intensive code ""boot-camp"" or night school","Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,Masters Degree in Computer Science (or related field),,,"More than $160,000",170000,Freelance / Contractor,Other (please specify)
40-50,Male,11+ years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,MDX,,On-the-job training,"Intensive code ""boot-camp"" or night school",,,,,,,,,"$100,000 - $120,000",110000,Employed full-time,Retail
30-34,Male,2 - 5 years,Business intelligence or data warehousing expert,,,AngularJS,,,,C#,,CoffeeScript,,,,,,,,,,,,,,,Node.js,,,PHP,Python,,,,,,,,,SQL,,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$60,000 - $80,000",70000,Employed full-time,Software Products
51-60,Male,11+ years,Business intelligence or data warehousing expert,,,,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"More than $160,000",170000,Employed full-time,Software Products
30-34,Female,6 - 10 years,Business intelligence or data warehousing expert,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,,,,,,,,,,,,,,,
30-34,Male,2 - 5 years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,
20-24,Male,1 - 2 years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharepoint,,SQL,SQL Server,,Visual Basic,,,,,On-the-job training,,,,,,,,,,"$40,000 - $60,000",50000,Employed full-time,
30-34,Male,2 - 5 years,Business intelligence or data warehousing expert,Android,,,,,,,,,,,,,,,Hadoop,,,Java,,,,,,,,,Python,R,,Ruby,,,,,,SQL,,,,,Wordpress,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$100,000 - $120,000",110000,Employed full-time,
30-34,Male,11+ years,Data scientist,,,,,,,,,,,,,,,,,,,,,,Matlab,,,,Perl,,,,,,,,,,,,,,Visual Basic,,,Fortran,,On-the-job training,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$80,000 - $100,000",90000,Employed full-time,Aerospace
40-50,Male,11+ years,Data scientist,,,,C,,,,,,,,,,,,,,,,,,,,,,Perl,,,,,,,,,,,SQL,,,,,,ksh,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,"$80,000 - $100,000",90000,Freelance / Contractor,Aerospace
30-34,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,Visual Basic,,,,No formal training; I'm self-taught,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"$80,000 - $100,000",90000,Employed full-time,Consulting
40-50,Male,6 - 10 years,Data scientist,,,,,,,,,CoffeeScript,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,,JavaScript,,,MongoDB,Node.js,Objective-C,,,Python,,,Ruby,,,,,,SQL,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,"$120,000 - $140,000",130000,Freelance / Contractor,Consulting
40-50,Male,1 - 2 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,"$60,000 - $80,000",70000,Freelance / Contractor,Consulting
40-50,Male,11+ years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,Industry certification program,,,Masters Degree in Computer Science (or related field),,,"$140,000 - $160,000",150000,Employed full-time,Consulting
35-39,Male,6 - 10 years,Data scientist,,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,,,,,,,R,,,,,,,,SQL,,,,,Wordpress,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,Rather not say,Rather not say,Freelance / Contractor,Consulting
40-50,Male,6 - 10 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,Other,"$60,000 - $80,000",70000,Freelance / Contractor,Consulting
35-39,Male,11+ years,Data scientist,,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,PHP,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,Other,Rather not say,Rather not say,Freelance / Contractor,Consulting
40-50,Male,11+ years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"More than $160,000",170000,Freelance / Contractor,Consulting
20-24,Other,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,,,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,"$80,000 - $100,000",90000,Employed full-time,Consumer Products
25-29,Male,6 - 10 years,Data scientist,,,,,C++,,,,,,,,,,,,,,,,,Matlab,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,Rather not say,Rather not say,Employed full-time,Defense
35-39,Male,11+ years,Data scientist,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,,,PhD in Computer Science (or related field),,"$140,000 - $160,000",150000,Employed full-time,Defense
20-24,Male,2 - 5 years,Data scientist,,,,,,C++11,,,,,,,,,,,,,,,,Matlab,,,,,,Python,R,,,,,,,,,,,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,Rather not say,Rather not say,Employed full-time,Defense
20-24,Male,2 - 5 years,Data scientist,,,,C,C++,,,,,,,,,,,,,,Java,,,Matlab,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$60,000 - $80,000",70000,Freelance / Contractor,Defense
20-24,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,R,,,,,,,,,,,,,,,,On-the-job training,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$20,000 - $40,000",30000,Employed full-time,Defense
30-34,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,Visual Basic,,,,No formal training; I'm self-taught,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"$100,000 - $120,000",110000,Employed full-time,Defense
30-34,Female,6 - 10 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,IDL,,On-the-job training,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,,,Employed full-time,Defense
30-34,Male,6 - 10 years,Data scientist,,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,,,,,,Python,R,,,,,,,,SQL,SQL Server,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$100,000 - $120,000",110000,Employed full-time,Education
20-24,Male,Less than 1 year,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$20,000 - $40,000",30000,Employed full-time,Education
20-24,Male,1 - 2 years,Data scientist,,,,,,,,,,,,,,,,,Haskell,,,,,,,,,,,,R,,Ruby,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$20,000 - $40,000",30000,Employed part-time,Education
30-34,Male,6 - 10 years,Data scientist,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,,,,,,,,,,,,,,,,,PhD in Computer Science (or related field),,"$80,000 - $100,000",90000,Employed full-time,Education
25-29,Male,6 - 10 years,Data scientist,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,,,Employed full-time,Education
30-34,Male,6 - 10 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,Perl,,Python,R,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$20,000 - $40,000",30000,Employed full-time,Education
51-60,Male,11+ years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,fortran,,On-the-job training,,,,,,,,,,"$100,000 - $120,000",110000,Employed full-time,Education
35-39,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"$40,000 - $60,000",50000,Employed full-time,Education
35-39,Male,6 - 10 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$40,000 - $60,000",50000,Employed full-time,Education
30-34,Female,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$80,000 - $100,000",90000,Employed full-time,Education
25-29,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,Visual Basic,,,,No formal training; I'm self-taught,,,,,,,,,,,"$120,000 - $140,000",130000,Employed full-time,Finance / Banking
30-34,Male,Less than 1 year,Data scientist,,,,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,Python,R,,,,,,,,SQL,,,Visual Basic,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,"$60,000 - $80,000",70000,Employed full-time,Finance / Banking
35-39,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,Node.js,,Perl,,Python,R,,,,,,,,SQL,,,,,,"PostgreSQL, DB2, Greenplum",No formal training; I'm self-taught,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"$100,000 - $120,000",110000,Employed full-time,Finance / Banking
30-34,Male,11+ years,Data scientist,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,,,PhD in Computer Science (or related field),,"More than $160,000",170000,Employed full-time,Finance / Banking
35-39,Male,11+ years,Data scientist,,,,,C++,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,R,Redis,,,,,,,SQL,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),Masters Degree in Computer Science (or related field),,,"More than $160,000",170000,Employed full-time,Finance / Banking
40-50,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,On-the-job training,"Intensive code ""boot-camp"" or night school",,,,,,,,,,,Employed full-time,Foundation / Non-Profit
30-34,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,SQL,SQL Server,,,,,,No formal training; I'm self-taught,,"Intensive code ""boot-camp"" or night school","Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,"$80,000 - $100,000",90000,Employed full-time,Foundation / Non-Profit
35-39,Male,6 - 10 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,"$60,000 - $80,000",70000,Employed full-time,Foundation / Non-Profit
25-29,Male,6 - 10 years,Data scientist,,Arduino / Raspberry Pi,,,C++,,,,,,,,,,,,,,,,LAMP,,,,,,,Python,,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$40,000 - $60,000",50000,Employed full-time,Government
25-29,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,,,,,,,,,,,,FAME,No formal training; I'm self-taught,,,,,,,,,,,"$60,000 - $80,000",70000,Employed full-time,Government
30-34,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$40,000 - $60,000",50000,Employed full-time,Government
30-34,Male,Less than 1 year,Data scientist,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$40,000 - $60,000",50000,Employed full-time,Government
40-50,Male,1 - 2 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"$80,000 - $100,000",90000,Employed full-time,Government
25-29,Male,2 - 5 years,Data scientist,,,AngularJS,,,,,,,,,,,,,Hadoop,,,Java,JavaScript,,Matlab,,,,,,Python,R,,Ruby,,,,,,SQL,,,,,Wordpress,,No formal training; I'm self-taught,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,Masters Degree in Computer Science (or related field),PhD in Computer Science (or related field),,"$40,000 - $60,000",50000,Employed full-time,Government
25-29,Male,Less than 1 year,Data scientist,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Employed full-time,Government
40-50,Male,11+ years,Data scientist,,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,,Node.js,,,,,R,,,,,,,,,SQL Server,,,,,Bash scripts,,On-the-job training,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$80,000 - $100,000",90000,Employed full-time,Healthcare
40-50,Male,11+ years,Data scientist,,,,C,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,Other,"$80,000 - $100,000",90000,Employed full-time,Healthcare
25-29,Female,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,R,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,Masters Degree in Computer Science (or related field),,,"$60,000 - $80,000",70000,Employed full-time,Healthcare
30-34,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"$60,000 - $80,000",70000,Employed full-time,Healthcare
25-29,Male,11+ years,Data scientist,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$80,000 - $100,000",90000,Employed full-time,Healthcare
25-29,Male,11+ years,Data scientist,,,,,,,,,CoffeeScript,,,,,,,,,,Java,JavaScript,,,,,,,PHP,Python,,,Ruby,,,,,,SQL,,,,,Wordpress,,,,,,,Industry certification program,,Bachelor of Science in Computer Science (or related field),,,,"$100,000 - $120,000",110000,Employed full-time,Healthcare
25-29,Female,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,SQL,SQL Server,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,Other,"$20,000 - $40,000",30000,Employed full-time,Healthcare
30-34,Male,11+ years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,,,Visual Basic,,,,No formal training; I'm self-taught,,,,,,,,,,,"$60,000 - $80,000",70000,Employed full-time,Healthcare
< 20,Male,2 - 5 years,Data scientist,,,,C,,,,,,,,,,,,,,,,,,Matlab,,,,,,,R,,,,,,,,,,,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"Less than $20,000",10000,Employed part-time,I'm a student
25-29,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,Rather not say,Rather not say,Employed part-time,I'm a student
25-29,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,JavaScript,,Matlab,,,,,,Python,,,,,,,,,,,,,,,,,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),Masters Degree in Computer Science (or related field),,,"$20,000 - $40,000",30000,Employed full-time,I'm a student
20-24,Male,Less than 1 year,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$40,000 - $60,000",50000,Employed full-time,Internet
25-29,Female,1 - 2 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,SQL,,,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$80,000 - $100,000",90000,Employed full-time,Internet
30-34,Male,6 - 10 years,Data scientist,,,,,,,,,,,,,,,,Hadoop,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,Masters Degree in Computer Science (or related field),,,"$100,000 - $120,000",110000,Employed full-time,Internet
25-29,Male,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,,SQL Server,,,,,,No formal training; I'm self-taught,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"$80,000 - $100,000",90000,Employed full-time,Manufacturing
25-29,Male,6 - 10 years,Data scientist,,,,,C++,,,,,,,,,,,Hadoop,,,Java,JavaScript,LAMP,Matlab,,,,,,Python,,Redis,,,,,,Spark,SQL,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$40,000 - $60,000",50000,Employed full-time,Manufacturing
30-34,Male,11+ years,Data scientist,,,,,,,,,,,,,,,,,,,,,LAMP,,,,,,,Python,,,,,,,,,SQL,SQL Server,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),Masters Degree in Computer Science (or related field),,,"$100,000 - $120,000",110000,Employed full-time,Manufacturing
30-34,Male,2 - 5 years,Data scientist,,,,,C++,,,,,,,,,,Go,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,On-the-job training,,,,,,,,,,"$100,000 - $120,000",110000,Employed full-time,Media / Advertising
20-24,Male,6 - 10 years,Data scientist,,,,,,C++11,,,,,,,,,,,,,Java,,,,,,,,PHP,Python,R,,,,,,,,,,,,,Wordpress,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Media / Advertising
35-39,Male,11+ years,Data scientist,,,,,,,,,,,,,,,,Hadoop,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,pig,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$120,000 - $140,000",130000,Employed full-time,Media / Advertising
25-29,Male,1 - 2 years,Data scientist,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,Scala,,Spark,SQL,,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,PhD in Computer Science (or related field),,"$140,000 - $160,000",150000,Employed full-time,Media / Advertising
20-24,Male,2 - 5 years,Data scientist,,,,,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,,,,,,Python,R,,Ruby,,,,,,SQL,SQL Server,,,,,Backbone.js,,On-the-job training,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$120,000 - $140,000",130000,Employed full-time,Media / Advertising
25-29,Male,11+ years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,MongoDB,,,,,Python,R,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,Masters Degree in Computer Science (or related field),,,"$80,000 - $100,000",90000,Employed full-time,Other (please specify)
Prefer not to disclose,Male,11+ years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,Perl,,Python,,,,,,,,,,,,,,,Bash,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,Rather not say,Rather not say,Employed full-time,Other (please specify)
20-24,Male,1 - 2 years,Data scientist,,,,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,Visual Basic,,,,No formal training; I'm self-taught,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$40,000 - $60,000",50000,Employed full-time,Other (please specify)
30-34,Male,1 - 2 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,,SQL Server,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"$80,000 - $100,000",90000,Employed full-time,Other (please specify)
40-50,Male,11+ years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$100,000 - $120,000",110000,Employed full-time,Other (please specify)
25-29,Male,Less than 1 year,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$60,000 - $80,000",70000,Employed full-time,Other (please specify)
